,Unnamed: 0,地点,位置,O2,CODMn,NH3_N,PH,Unnamed: 7,Unnamed: 8,Unnamed: 9
398,399,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.37  ,6.21  ,4.7  ,0.41  ,Ⅲ  ,Ⅳ  ,
399,400,四川宜宾凉姜沟 ,岷江（入长江前） ,8.57  ,7.13  ,2.2  ,0.12  ,Ⅱ  ,Ⅱ  ,
400,401,四川泸州沱江二桥 ,沱江（入长江前） ,7.64  ,8.3  ,3.9  ,0.48  ,Ⅱ  ,Ⅱ  ,
401,402,湖北丹江口胡家岭 ,丹江口水库（库体） ,7.91  ,7.87  ,1.9  ,0.07  ,Ⅰ  ,Ⅰ  ,
402,403,湖南长沙新港 ,湘江（洞庭湖入口） ,6.99  ,5.63  ,2.4  ,0.53  ,Ⅲ  ,Ⅲ  ,
403,404,湖南岳阳岳阳楼 ,洞庭湖出口 ,7.07  ,6.15  ,5  ,0.16  ,Ⅲ  ,Ⅲ  ,
404,405,湖北武汉宗关 ,汉江（入长江前） ,7.99  ,5.91  ,2.4  ,0.12  ,Ⅲ  ,Ⅱ  ,
405,406,江西南昌滁槎 ,赣江（鄱阳湖入口） ,6.34  ,4.79  ,1.7  ,0.72  ,Ⅳ  ,Ⅲ  ,溶解氧  
406,407,江西九江蛤蟆石 ,鄱阳湖出口 ,7.34  ,6.59  ,1.8  ,0.08  ,Ⅱ  ,Ⅱ  ,
407,408,江苏扬州三江营 ,夹江（南水北调取水口） ,8.3  ,6.08  ,3.7  ,0.15  ,Ⅱ  ,Ⅱ  ,
408,409,四川攀枝花龙洞,干流,8.54  ,8.8  ,2.9  ,0.08  ,Ⅱ  ,Ⅱ  ,   
409,410,重庆朱沱 ,干流（川-渝省界） ,8.21  ,10.1  ,1.7  ,0.17  ,Ⅱ  ,Ⅲ  ,   
410,411,湖北宜昌南津关 ,干流（三峡水库出口） ,8.07  ,7.1  ,2.1  ,0.17  ,Ⅱ  ,Ⅱ  ,   
411,412,湖南岳阳城陵矶 ,干流 ,7.93  ,10.7  ,4.7  ,0.16  ,Ⅲ  ,Ⅱ  ,   
412,413,江西九江河西水厂 ,干流（鄂-赣省界） ,7.38  ,6.72  ,2.8  ,0.08  ,Ⅱ  ,Ⅱ  ,   
413,414,安徽安庆皖河口 ,干流 ,7.48  ,7.98  ,2.6  ,0.28  ,Ⅱ  ,Ⅱ  ,   
414,415,江苏南京林山 ,干流（皖-苏省界） ,7.49  ,6.8  ,1.4  ,0.1  ,Ⅱ  ,Ⅱ  ,   
415,416,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.36  ,6.31  ,2.9  ,0.34  ,Ⅱ  ,Ⅲ  ,   
416,417,四川宜宾凉姜沟 ,岷江（入长江前） ,8.65  ,7.87  ,2.3  ,0.17  ,Ⅱ  ,Ⅱ  ,   
417,418,四川泸州沱江二桥 ,沱江（入长江前） ,7.46  ,7.9  ,3.1  ,0.16  ,Ⅱ  ,Ⅱ  ,   
418,419,湖北丹江口胡家岭 ,丹江口水库（库体） ,7.86  ,8.08  ,2  ,0.08  ,Ⅰ  ,Ⅰ  ,   
419,420,湖南长沙新港 ,湘江（洞庭湖入口） ,7.33  ,6.95  ,1.5  ,0.47  ,Ⅱ  ,Ⅲ  ,   
420,421,湖南岳阳岳阳楼 ,洞庭湖出口 ,7.53  ,7.62  ,3.9  ,0.35  ,Ⅱ  ,Ⅲ  ,   
421,422,湖北武汉宗关 ,汉江（入长江前） ,7.9  ,4.38  ,5.9  ,0.12  ,Ⅳ  ,Ⅲ  ,溶解氧  
422,423,江西南昌滁槎 ,赣江（鄱阳湖入口） ,6.35  ,4.4  ,1.6  ,1.18  ,Ⅳ  ,Ⅳ  ,氨氮，溶解氧  
423,424,江西九江蛤蟆石 ,鄱阳湖出口 ,7.44  ,6.32  ,2.3  ,0.07  ,Ⅱ  ,Ⅱ  ,   
424,425,江苏扬州三江营 ,夹江（南水北调取水口） ,8.3  ,5.48  ,5.3  ,0.39  ,Ⅲ  ,Ⅱ  ,
425,426,四川攀枝花龙洞,干流,8.19  ,8.62  ,4  ,0.08  ,Ⅱ  ,Ⅱ  ,   
426,427,重庆朱沱 ,干流（川-渝省界） ,8.45  ,8.16  ,2.7  ,0.18  ,Ⅱ  ,Ⅱ  ,   
427,428,湖北宜昌南津关 ,干流（三峡水库出口） ,7.7  ,7  ,2.6  ,0.15  ,Ⅱ  ,Ⅱ  ,   
428,429,湖南岳阳城陵矶 ,干流 ,7.92  ,8.7  ,3.1  ,0.41  ,Ⅱ  ,Ⅲ  ,   
429,430,江西九江河西水厂 ,干流（鄂-赣省界） ,7.41  ,7.18  ,3.1  ,0.07  ,Ⅱ  ,Ⅱ  ,   
430,431,安徽安庆皖河口 ,干流 ,7.23  ,7.12  ,3.2  ,0.25  ,Ⅱ  ,Ⅱ  ,   
431,432,江苏南京林山 ,干流（皖-苏省界） ,7.47  ,6.95  ,3.8  ,0.1  ,Ⅱ  ,Ⅱ  ,   
432,433,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.33  ,5.23  ,4.2  ,0.34  ,Ⅲ  ,Ⅱ  ,   
433,434,四川宜宾凉姜沟 ,岷江（入长江前） ,8.5  ,7.14  ,3.3  ,0.06  ,Ⅱ  ,Ⅱ  ,   
434,435,四川泸州沱江二桥 ,沱江（入长江前） ,7.8  ,6.71  ,2.3  ,0.1  ,Ⅱ  ,Ⅱ  ,   
435,436,湖北丹江口胡家岭 ,丹江口水库（库体） ,7.86  ,7.63  ,2  ,0.07  ,Ⅰ  ,Ⅰ  ,   
436,437,湖南长沙新港 ,湘江（洞庭湖入口） ,7.03  ,6.45  ,1.8  ,0.59  ,Ⅲ  ,Ⅱ  ,   
437,438,湖南岳阳岳阳楼 ,洞庭湖出口 ,7.99  ,7.94  ,3.1  ,0.39  ,Ⅱ  ,Ⅱ  ,   
438,439,湖北武汉宗关 ,汉江（入长江前） ,7.88  ,5.4  ,3.8  ,0.13  ,Ⅲ  ,Ⅳ  ,   
439,440,江西南昌滁槎 ,赣江（鄱阳湖入口） ,6.53  ,3.38  ,2.2  ,1.18  ,Ⅳ  ,Ⅳ  ,氨氮，溶解氧  
440,441,江西九江蛤蟆石 ,鄱阳湖出口 ,7.31  ,6.38  ,2.9  ,0.15  ,Ⅱ  ,Ⅱ  ,   
441,442,江苏扬州三江营 ,夹江（南水北调取水口） ,7.77  ,6.25  ,2.4  ,0.15  ,Ⅱ  ,Ⅲ  ,
442,443,四川攀枝花龙洞,干流,8.04  ,8.93  ,2.6  ,0.09  ,Ⅱ  ,Ⅱ  ,   
443,444,重庆朱沱 ,干流（川-渝省界） ,8.4  ,8.29  ,2.9  ,0.17  ,Ⅱ  ,Ⅱ  ,   
444,445,湖北宜昌南津关 ,干流（三峡水库出口） ,7.78  ,6.5  ,1.3  ,0.63  ,Ⅲ  ,Ⅱ  ,   
445,446,湖南岳阳城陵矶 ,干流 ,8.02  ,7.83  ,4.2  ,0.25  ,Ⅲ  ,Ⅱ  ,   
446,447,江西九江河西水厂 ,干流（鄂-赣省界） ,7.4  ,7.27  ,2.3  ,0.07  ,Ⅱ  ,Ⅱ  ,   
447,448,安徽安庆皖河口 ,干流 ,7.42  ,7.18  ,2.7  ,0.22  ,Ⅱ  ,Ⅱ  ,   
448,449,江苏南京林山 ,干流（皖-苏省界） ,7.53  ,6.16  ,3.3  ,0.04  ,Ⅱ  ,Ⅱ  ,   
449,450,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.23  ,6.38  ,5.4  ,0.32  ,Ⅲ  ,Ⅲ  ,   
450,451,四川宜宾凉姜沟 ,岷江（入长江前） ,8.61  ,7.63  ,3.1  ,0.08  ,Ⅱ  ,Ⅱ  ,   
451,452,四川泸州沱江二桥 ,沱江（入长江前） ,7.77  ,6.7  ,3.2  ,0.05  ,Ⅱ  ,Ⅱ  ,   
452,453,湖北丹江口胡家岭 ,丹江口水库（库体） ,7.59  ,7.98  ,2  ,0.1  ,Ⅰ  ,Ⅰ  ,
453,454,湖南长沙新港 ,湘江（洞庭湖入口） ,6.7  ,5.73  ,1.4  ,0.61  ,Ⅲ  ,Ⅲ  ,
454,455,湖南岳阳岳阳楼 ,洞庭湖出口 ,7.76  ,7.74  ,3  ,0.34  ,Ⅱ  ,Ⅱ  ,
455,456,湖北武汉宗关 ,汉江（入长江前） ,7.99  ,6.22  ,3.9  ,0.14  ,Ⅱ  ,Ⅲ  ,
456,457,江西南昌滁槎 ,赣江（鄱阳湖入口） ,6.8  ,3.87  ,2.2  ,0.97  ,Ⅳ  ,Ⅳ  ,溶解氧
457,458,江西九江蛤蟆石 ,鄱阳湖出口 ,7.21  ,7.2  ,2.8  ,0.13  ,Ⅱ  ,Ⅱ  ,
458,459,江苏扬州三江营 ,夹江（南水北调取水口） ,7.12  ,5.52  ,2.5  ,0.07  ,Ⅲ  ,Ⅱ  ,
459,460,四川攀枝花龙洞,干流,8.46  ,8.5  ,4  ,0.08  ,Ⅱ  ,Ⅱ  ,
460,461,重庆朱沱 ,干流（川-渝省界） ,8.5  ,8.2  ,2.9  ,0.11  ,Ⅱ  ,Ⅱ  ,
461,462,湖北宜昌南津关 ,干流（三峡水库出口） ,8.13  ,6.51  ,3.2  ,0.2  ,Ⅱ  ,Ⅲ  ,
462,463,湖南岳阳城陵矶 ,干流 ,7.99  ,11.2  ,4.9  ,0.41  ,Ⅲ  ,Ⅲ  ,
463,464,江西九江河西水厂 ,干流（鄂-赣省界） ,7.48  ,6.87  ,2.3  ,0.06  ,Ⅱ  ,Ⅱ  ,
464,465,安徽安庆皖河口 ,干流 ,7.48  ,7.12  ,2.7  ,0.16  ,Ⅱ  ,Ⅱ  ,
465,466,江苏南京林山 ,干流（皖-苏省界） ,7.26  ,6.08  ,3.5  ,0.1  ,Ⅱ  ,Ⅱ  ,
466,467,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.39  ,6.6  ,2.1  ,0.32  ,Ⅱ  ,Ⅲ  ,
467,468,四川宜宾凉姜沟 ,岷江（入长江前） ,8.79  ,8.19  ,2.1  ,0.09  ,Ⅱ  ,Ⅱ  ,
468,469,四川泸州沱江二桥 ,沱江（入长江前） ,8.18  ,8.84  ,3.7  ,0.22  ,Ⅱ  ,Ⅱ  ,
469,470,湖北丹江口胡家岭 ,丹江口水库（库体） ,8.67  ,8.28  ,2  ,0.07  ,Ⅰ  ,Ⅰ  ,
470,471,湖南长沙新港 ,湘江（洞庭湖入口） ,6.76  ,6.07  ,3.9  ,0.57  ,Ⅲ  ,Ⅲ  ,
471,472,湖南岳阳岳阳楼 ,洞庭湖出口 ,7.43  ,8.51  ,2.6  ,0.64  ,Ⅲ  ,Ⅱ  ,   
472,473,湖北武汉宗关 ,汉江（入长江前） ,8.05  ,6.68  ,2.3  ,0.13  ,Ⅱ  ,Ⅱ  ,   
473,474,江西南昌滁槎 ,赣江（鄱阳湖入口） ,6.39  ,3.39  ,1.1  ,0.92  ,Ⅳ  ,Ⅳ  ,溶解氧  
474,475,江西九江蛤蟆石 ,鄱阳湖出口 ,7.64  ,7.39  ,2.3  ,0.11  ,Ⅱ  ,Ⅱ  ,   
475,476,江苏扬州三江营 ,夹江（南水北调取水口） ,7.67  ,7.25  ,3.6  ,0.29  ,Ⅱ  ,Ⅲ  ,   
